lat,lon,date,vpd_avg,vpd_max,vpd_min,vpd_avg_1,vpd_max_1,vpd_min_1
32.89,76.14,2010-01-01,1.242034912,2.396972656,0.68028748,1.306786656,2.312937737,0.484035611
30.01,80.39,2010-01-01,3.663666248,6.202444553,2.287261248,3.373124361,5.590376377,1.84405756
26.76,90.78,2010-01-01,3.928453445,10.26750469,0.768901825,4.33509922,7.862484932,1.207238197
32.07,76.81,2010-01-01,3.254968166,6.675743103,1.603967667,3.138409615,5.658082008,1.585707664
26.22,94.71,2010-01-02,4.071175098,11.64881229,0.755316734,1.801976681,6.04648304,0.093794823
26.07,94.4,2010-01-02,3.969307899,11.63298225,0.107610703,2.297805786,7.689269066,0.027521133
25.95,94.29,2010-01-02,3.293115139,10.68642426,0.049646378,2.423650026,7.801028252,0.016958237
26.88,95.38,2010-01-02,3.13798666,9.883986473,0.226706505,2.190532207,6.274172783,0.078157425
26.88,95.39,2010-01-02,3.13798666,9.883986473,0.226706505,2.190532207,6.274172783,0.078157425
19.15,78.21,2010-01-02,14.72282982,27.52980804,5.679585457,13.64449596,24.79731178,4.019547462
18.99,78.8,2010-01-02,16.17135239,31.60942841,4.651281357,15.28995991,29.55230331,4.611010551
18.99,78.81,2010-01-02,16.17135239,31.60942841,4.651281357,15.28995991,29.55230331,4.611010551
34.33,74.97,2010-01-02,2.012360096,4.370005608,1.209976077,2.166790247,3.411629915,1.336074352
33.71,73.97,2010-01-02,4.963953018,10.12264347,2.51475668,5.561021328,12.97206688,2.197703123
15.85,73.67,2010-01-03,10.26416302,20.52631569,4.127120972,11.32409477,24.85892677,3.411722183
25.95,92.16,2010-01-03,4.708735943,13.73380089,0.643194199,4.508594513,13.80065727,0.710272789
25.59,91.19,2010-01-03,4.162649155,10.07373905,0.33934021,4.691998482,13.39375305,0.450881004
28.94,95.96,2010-01-03,1.685920358,4.553689003,0.852144361,1.755149007,4.665542603,0.832359314
28.65,96.21,2010-01-03,1.436232567,4.032177925,0.532890856,1.529045343,4.720178604,0.562657595
27.38,92.59,2010-01-03,4.207389832,9.90473938,2.191093445,4.331758022,9.150695801,1.725992084
26.39,95.03,2010-01-04,3.811066866,10.68277359,0.978034973,4.639090538,13.66098213,1.146104813
26.4,95.05,2010-01-04,3.811066866,10.68277359,0.978034973,4.639090538,13.66098213,1.146104813
27.6,91.96,2010-01-04,1.444463134,4.838504314,9.54e-06,2.923539162,9.134660721,0.691706419
27.16,92.3,2010-01-04,2.00419569,6.482144356,0.057014465,3.421272039,10.15641975,0.59886837
26.93,95.45,2010-01-04,4.615823269,10.88824654,1.935822487,4.694892406,12.05021572,1.41554451
26.94,95.47,2010-01-04,4.615823269,10.88824654,1.935822487,4.694892406,12.05021572,1.41554451
26.72,94.9,2010-01-04,3.21539855,9.634540558,1.064620018,3.507259607,10.61081123,0.38079834
26.73,94.9,2010-01-04,3.21539855,9.634540558,1.064620018,3.507259607,10.61081123,0.38079834
26.66,94.92,2010-01-04,3.21539855,9.634540558,1.064620018,3.507259607,10.61081123,0.38079834
26.65,94.9,2010-01-04,3.21539855,9.634540558,1.064620018,3.507259607,10.61081123,0.38079834
26.52,95.04,2010-01-04,3.811066866,10.68277359,0.978034973,4.639090538,13.66098213,1.146104813
26.38,95.02,2010-01-04,3.811066866,10.68277359,0.978034973,4.639090538,13.66098213,1.146104813
26.39,95.02,2010-01-04,3.811066866,10.68277359,0.978034973,4.639090538,13.66098213,1.146104813
26.39,95.05,2010-01-04,3.811066866,10.68277359,0.978034973,4.639090538,13.66098213,1.146104813
12.76,77.11,2010-01-04,11.56088638,26.84001923,2.483122826,9.930392265,22.16610146,1.653784752
17.92,79.99,2010-01-04,15.18316841,30.8883667,5.831083298,11.87020588,24.1424408,4.423200607
17.85,82.1,2010-01-04,10.19108963,24.84683609,1.790343285,8.720020294,22.37434196,0.321843147
22.91,79.43,2010-01-04,6.973322392,16.08258057,1.411017418,9.087679863,21.5412159,1.664980888
28.16,96.55,2010-01-05,2.137150288,5.205367565,0.647366524,2.80609417,8.583940506,0.832424641
27.72,95.43,2010-01-05,3.655996084,12.42170906,0.322135925,4.318603039,11.51832771,0.455055237
27.13,95.54,2010-01-05,4.38775444,11.01953888,0.938827515,3.822764635,11.21429825,1.000546455
27.15,95.58,2010-01-05,4.38775444,11.01953888,0.938827515,3.822764635,11.21429825,1.000546455
25.11,94.26,2010-01-05,4.539715767,14.1695013,0.361625671,5.274452209,15.6820488,0.871282578
25.01,94.52,2010-01-05,3.284880161,10.91624832,0.006556511,4.473241329,13.72766781,0.904885292
25.31,93.68,2010-01-05,3.873561144,11.34223461,0.78401947,4.084816456,12.42328072,0.53608036
26.02,94.26,2010-01-05,2.758579016,10.04086876,0.038085938,3.70094347,11.87395191,0.362627029
25.94,92.19,2010-01-05,2.95050168,9.969538689,0.764271736,3.834541321,11.24748325,0.692724228
25.43,91.29,2010-01-05,2.17412734,7.333414078,-0.000728607,3.404271603,9.174237251,0.164066315
25.92,94.3,2010-01-05,2.758579016,10.04086876,0.038085938,3.70094347,11.87395191,0.362627029
25.39,91.75,2010-01-05,2.217421532,7.095730782,0.0,3.469820738,9.566530228,0.083745956
25.6,94.02,2010-01-05,3.078242302,10.51175594,0.382263184,3.865521908,12.27264404,0.643973351
25.36,93.98,2010-01-05,4.322563648,12.3202858,0.690896034,4.348511696,13.16700554,0.725188732
25.45,94.07,2010-01-05,3.078242302,10.51175594,0.382263184,3.865521908,12.27264404,0.643973351
28.92,95.83,2010-01-05,1.382863283,3.673154354,0.451766729,1.594118237,4.420599937,0.518501282
28.57,94.62,2010-01-05,2.548943043,7.618232727,0.483991623,3.417218208,10.39249229,0.484667301
28.92,95.82,2010-01-05,1.382863283,3.673154354,0.451766729,1.594118237,4.420599937,0.518501282
28.65,94.36,2010-01-05,1.08221674,3.222493172,0.2340343,1.173835397,3.147957802,0.271540403
26.65,94.83,2010-01-06,3.227290392,9.891748428,0.352846146,3.915586948,10.23416138,0.493270874
25.25,92.77,2010-01-06,3.732713699,12.93017483,0.635725021,3.1392138,10.12782574,0.324324608
26.03,94.49,2010-01-06,2.836222649,9.359444618,0.008214951,2.770771027,9.924742699,0.006316185
25.61,94.03,2010-01-06,3.133685589,10.6199789,0.275014877,3.078242302,10.51175594,0.382263184
26.03,94.5,2010-01-06,2.836222649,9.359444618,0.008214951,2.770771027,9.924742699,0.006316185
26.64,94.82,2010-01-06,3.227290392,9.891748428,0.352846146,3.915586948,10.23416138,0.493270874
26.64,94.83,2010-01-06,3.227290392,9.891748428,0.352846146,3.915586948,10.23416138,0.493270874
26.63,94.83,2010-01-06,3.227290392,9.891748428,0.352846146,3.915586948,10.23416138,0.493270874
26.63,94.81,2010-01-06,3.227290392,9.891748428,0.352846146,3.915586948,10.23416138,0.493270874
26.36,95.02,2010-01-06,3.664020538,10.98403454,0.509159088,2.847700119,10.58457756,0.176350594
27.15,95.61,2010-01-06,4.246829987,11.52363586,0.932380676,4.38775444,11.01953888,0.938827515
26.36,95.01,2010-01-06,3.664020538,10.98403454,0.509159088,2.847700119,10.58457756,0.176350594
26.63,94.8,2010-01-06,3.227290392,9.891748428,0.352846146,3.915586948,10.23416138,0.493270874
26.64,94.85,2010-01-06,3.227290392,9.891748428,0.352846146,3.915586948,10.23416138,0.493270874
26.01,94.47,2010-01-06,2.836222649,9.359444618,0.008214951,2.770771027,9.924742699,0.006316185
26.01,94.46,2010-01-06,2.836222649,9.359444618,0.008214951,2.770771027,9.924742699,0.006316185
27.14,95.61,2010-01-06,4.246829987,11.52363586,0.932380676,4.38775444,11.01953888,0.938827515
18.28,80.43,2010-01-06,12.75301552,27.6577301,4.02075386,14.76897526,31.91250992,4.085297585
17.69,80.28,2010-01-06,12.00494957,26.20884705,2.592159271,14.4126358,31.41942978,3.984113693
19.01,78.83,2010-01-06,15.26254463,31.57040024,4.076178551,15.3731966,29.63726044,4.487090111
27.39,92.3,2010-01-06,1.801418543,4.450950623,0.051177025,1.474576831,4.021205425,0.040626049
28.36,80.44,2010-01-06,1.958286881,6.782628059,0.011962891,1.471906304,3.392471313,0.494879723
34.37,73.59,2010-01-06,5.974885464,13.16540527,2.234139919,5.500212193,12.87147331,1.947775364
