lat,lon,date,vpd_avg,vpd_max,vpd_min,vpd_avg_1,vpd_max_1,vpd_min_1
29.89,80.45,2016-01-01,3.780974388,7.623878002,2.065564394,3.552731991,5.656011581,1.529680371
29.9,80.45,2016-01-01,3.780974388,7.623878002,2.065564394,3.552731991,5.656011581,1.529680371
9.75,76.81,2016-01-01,13.79347706,33.39507294,2.534740448,14.94011497,35.10816193,2.388252258
9.75,76.82,2016-01-01,13.79347706,33.39507294,2.534740448,14.94011497,35.10816193,2.388252258
14.04,75.53,2016-01-01,15.93763256,31.64264297,5.289505959,17.28095627,33.06084442,6.278271675
15.6,74.59,2016-01-01,16.35335732,32.16099548,5.544809341,16.88735199,32.26659012,7.66151619
16.07,78.63,2016-01-01,11.20976639,27.7293129,0.997848511,12.46104813,30.34250069,0.524965286
16.09,78.95,2016-01-01,11.33953667,28.22745132,1.549089432,12.78196621,30.62468719,1.086036682
15.25,74.9,2016-01-01,17.73425674,34.91196823,6.265760422,18.25448418,35.81285858,7.637260437
15.25,74.91,2016-01-01,17.73425674,34.91196823,6.265760422,18.25448418,35.81285858,7.637260437
15.12,74.85,2016-01-01,18.17757607,36.25741959,7.533784866,18.42788315,36.49578094,8.450231552
15.11,74.86,2016-01-01,18.17757607,36.25741959,7.533784866,18.42788315,36.49578094,8.450231552
14.84,75.07,2016-01-01,19.29823875,36.3247757,7.621858597,19.68611908,36.82463455,8.027781487
14.23,75.49,2016-01-01,17.57744789,35.12760162,5.669771194,19.01966286,36.67665863,6.796022415
14.19,75.43,2016-01-01,17.57744789,35.12760162,5.669771194,19.01966286,36.67665863,6.796022415
15.11,74.87,2016-01-01,18.17757607,36.25741959,7.533784866,18.42788315,36.49578094,8.450231552
18.03,79.99,2016-01-01,10.16320324,26.47550774,1.176267624,11.48464489,28.66384315,0.579223633
17.89,80.11,2016-01-01,10.16320324,26.47550774,1.176267624,11.48464489,28.66384315,0.579223633
18.04,80.0,2016-01-01,10.16320324,26.47550774,1.176267624,11.48464489,28.66384315,0.579223633
19.73,73.36,2016-01-01,19.05691719,42.54629898,7.335220337,18.91683388,44.42000961,6.572694778
19.73,73.37,2016-01-01,19.05691719,42.54629898,7.335220337,18.91683388,44.42000961,6.572694778
18.6,78.55,2016-01-01,16.01273155,35.00749207,5.958547592,18.26401711,38.48595428,4.794438362
18.29,77.97,2016-01-01,15.03798771,35.11139679,5.209164619,16.68491554,36.84506607,3.688073158
18.3,77.97,2016-01-01,15.03798771,35.11139679,5.209164619,16.68491554,36.84506607,3.688073158
21.37,75.39,2016-01-01,13.97815132,33.2420578,3.916857719,14.47636032,32.06404114,3.67341423
30.1,78.74,2016-01-01,5.283302307,13.33409309,0.843430042,6.105618477,11.68689346,2.519786835
21.3,75.77,2016-01-01,13.43820953,29.59000778,3.072584152,14.59781361,31.36573601,4.843940735
21.3,75.78,2016-01-01,13.43820953,29.59000778,3.072584152,14.59781361,31.36573601,4.843940735
12.88,75.66,2016-01-01,14.37995529,29.93373299,4.519447327,15.38156128,31.39139366,3.779605865
26.88,95.43,2016-01-02,3.639648676,9.623066902,0.974577904,2.911263704,8.440073013,0.658637047
26.92,95.44,2016-01-02,3.639648676,9.623066902,0.974577904,2.911263704,8.440073013,0.658637047
26.95,95.48,2016-01-02,3.639648676,9.623066902,0.974577904,2.911263704,8.440073013,0.658637047
26.95,95.47,2016-01-02,3.639648676,9.623066902,0.974577904,2.911263704,8.440073013,0.658637047
31.16,77.33,2016-01-02,4.479994297,10.38292503,1.663043022,5.181921959,11.71203995,1.669150591
20.03,78.69,2016-01-02,15.82838917,35.77087784,4.703791618,15.53280354,35.51831436,4.666666031
20.02,78.67,2016-01-02,15.82838917,35.77087784,4.703791618,15.53280354,35.51831436,4.666666031
27.84,93.61,2016-01-02,3.646435738,8.717102051,1.065144062,2.378683805,7.430809975,0.548971176
23.95,79.83,2016-01-02,11.5724926,26.92023468,3.542769432,13.28726482,27.8799057,4.312156677
25.55,94.29,2016-01-02,3.762442112,11.59532261,0.34187603,2.194448709,9.171154022,0.135961533
25.24,92.67,2016-01-02,4.939932346,14.57009125,0.889555931,3.196887016,10.00893593,0.103674889
25.23,94.49,2016-01-02,3.189397573,10.54251957,0.105060577,3.93910265,12.31449032,0.260494232
28.39,80.43,2016-01-02,4.553179741,15.03094101,0.211163521,3.948833466,13.27183628,0.000411987
30.66,79.02,2016-01-02,1.869813442,4.040952206,0.978596389,1.939172983,3.87060833,0.909125924
30.65,79.02,2016-01-02,1.869813442,4.040952206,0.978596389,1.939172983,3.87060833,0.909125924
34.32,73.83,2016-01-02,2.581707001,5.106930733,1.426270962,2.879584312,5.045145035,1.505051851
32.51,76.3,2016-01-02,3.051777124,6.0501194,1.429198265,3.10695076,6.303126335,1.777688026
32.4,76.47,2016-01-03,1.697512269,3.28240633,0.995140791,1.79639411,3.838114262,0.963256717
14.93,75.11,2016-01-03,17.0782299,32.62757874,8.43741703,18.15771675,34.54865265,7.495212555
13.92,76.01,2016-01-03,17.12278748,30.76918602,8.482112885,17.52798653,33.27220535,5.023023605
13.01,75.55,2016-01-03,18.54787064,36.50918198,8.795828819,18.80163574,37.17038345,7.629754066
18.35,78.06,2016-01-03,15.16154575,33.55464935,5.254231453,15.38987732,31.29048157,4.283325195
18.63,80.55,2016-01-03,9.755233765,25.70255089,2.116264343,10.93035507,23.40512657,2.707309723
18.02,80.07,2016-01-03,11.80261135,28.28281403,2.294618607,11.20819187,27.29357147,1.448890686
17.93,80.24,2016-01-03,12.12367249,28.36685944,2.155727386,11.60190487,27.67195892,1.318605423
17.93,80.25,2016-01-03,12.12367249,28.36685944,2.155727386,11.60190487,27.67195892,1.318605423
16.07,78.57,2016-01-03,17.77993584,39.2932663,3.396875381,17.54227066,39.5978241,2.942098618
16.07,78.58,2016-01-03,17.77993584,39.2932663,3.396875381,17.54227066,39.5978241,2.942098618
16.08,78.67,2016-01-03,14.60747242,34.55609512,1.84132576,13.77001762,32.73459625,1.416578293
15.24,74.71,2016-01-03,15.72671127,32.72466278,6.739872932,16.65562439,32.686203,5.000033379
15.19,74.84,2016-01-03,15.72671127,32.72466278,6.739872932,16.65562439,32.686203,5.000033379
22.57,75.98,2016-01-03,11.5451498,25.59568977,3.521696091,11.92639828,25.16967964,3.900988579
22.57,78.4,2016-01-03,11.43609715,24.36685944,3.547395706,11.05375195,24.57402039,3.282858849
21.78,73.74,2016-01-03,13.16690445,29.83293152,3.535531044,14.31232738,34.08683014,3.396060944
21.54,76.54,2016-01-03,13.73056602,29.62979507,4.704221725,13.75931168,31.34771538,3.994151115
21.54,76.55,2016-01-03,13.73056602,29.62979507,4.704221725,13.75931168,31.34771538,3.994151115
21.59,82.7,2016-01-03,13.34711456,25.48261261,6.202203751,9.360675812,22.44836235,3.345855713
19.3,78.83,2016-01-03,13.29365253,28.9459343,3.225118637,14.9114151,29.29918289,5.865707397
23.92,79.85,2016-01-03,11.74006271,26.03650856,3.522878647,11.5724926,26.92023468,3.542769432
21.78,69.72,2016-01-03,17.52820015,35.10749054,6.384640694,19.60286713,41.34004211,8.391588211
22.34,73.54,2016-01-03,11.35168743,27.46521378,2.399905205,11.61971092,29.85760498,2.502856255
30.48,79.16,2016-01-03,3.111816406,4.995881081,1.68626976,3.678467274,8.023976326,2.09060955
30.13,79.64,2016-01-03,2.733205557,4.908734798,1.610742807,2.96070838,5.657324791,1.602111936
32.39,76.47,2016-01-03,1.697512269,3.28240633,0.995140791,1.79639411,3.838114262,0.963256717
32.06,76.84,2016-01-03,3.388352156,7.089242458,1.869222164,3.184313774,6.777489185,1.441304684
31.74,77.32,2016-01-03,3.964452267,9.30619812,1.625398159,3.952682972,8.717498779,1.530903339
31.35,77.16,2016-01-03,4.068272591,10.6432991,1.27769804,4.479994297,10.38292503,1.663043022
31.36,77.17,2016-01-03,4.068272591,10.6432991,1.27769804,4.479994297,10.38292503,1.663043022
31.33,77.88,2016-01-03,2.792658091,5.997435093,1.142620444,2.735449553,5.982108116,1.042160869
31.22,77.47,2016-01-03,4.258599281,9.754745483,1.443169117,4.750412941,10.03907776,1.643667221
30.58,78.16,2016-01-03,3.530498505,10.27183723,0.686320305,4.484406471,10.54623795,1.380869865
30.55,78.91,2016-01-03,4.571459293,9.139568329,2.415275097,4.676140785,9.691143036,2.39511013
30.48,79.02,2016-01-03,4.571459293,9.139568329,2.415275097,4.676140785,9.691143036,2.39511013
26.67,94.89,2016-01-04,4.565509796,12.6839304,1.06080246,3.688942671,9.179264069,0.960172653
26.67,94.88,2016-01-04,4.565509796,12.6839304,1.06080246,3.688942671,9.179264069,0.960172653
26.68,94.9,2016-01-04,4.565509796,12.6839304,1.06080246,3.688942671,9.179264069,0.960172653
26.69,94.9,2016-01-04,4.565509796,12.6839304,1.06080246,3.688942671,9.179264069,0.960172653
26.07,94.5,2016-01-04,3.273028612,9.588833809,0.482092857,2.756391764,9.220565796,0.001835823
26.12,94.53,2016-01-04,3.273028612,9.588833809,0.482092857,2.756391764,9.220565796,0.001835823
26.35,95.03,2016-01-04,3.29680872,8.965869904,0.925889015,2.898307085,8.061918259,0.875746727
26.36,94.96,2016-01-04,3.29680872,8.965869904,0.925889015,2.898307085,8.061918259,0.875746727
26.58,94.86,2016-01-04,3.560285568,10.07829571,0.774095535,3.094689369,8.262973785,0.855880737
26.58,94.84,2016-01-04,3.560285568,10.07829571,0.774095535,3.094689369,8.262973785,0.855880737
26.59,94.85,2016-01-04,3.560285568,10.07829571,0.774095535,3.094689369,8.262973785,0.855880737
30.38,79.55,2016-01-04,2.741453648,5.732991695,1.254600286,2.406321764,3.889632702,1.327501297
30.38,79.53,2016-01-04,2.741453648,5.732991695,1.254600286,2.406321764,3.889632702,1.327501297
12.86,75.63,2016-01-04,16.42901993,33.46675873,6.159955978,16.43894196,33.53753662,5.939622879
13.3,75.19,2016-01-04,16.8409481,35.9131546,7.142560005,17.72848892,36.62930298,8.998929977
25.29,92.74,2016-01-04,4.089152813,13.23798275,0.42575264,5.278646946,14.78253078,1.046990395
25.21,92.78,2016-01-04,4.089152813,13.23798275,0.42575264,5.278646946,14.78253078,1.046990395
25.21,92.8,2016-01-04,4.089152813,13.23798275,0.42575264,5.278646946,14.78253078,1.046990395
25.28,93.72,2016-01-04,3.320834398,11.46718597,0.087946892,3.881237268,12.02122498,0.044995308
25.28,93.74,2016-01-04,3.320834398,11.46718597,0.087946892,3.881237268,12.02122498,0.044995308
28.84,95.82,2016-01-04,2.495871544,6.404138565,1.09419632,1.839999199,3.728459835,0.838152885
28.84,95.85,2016-01-04,2.495871544,6.404138565,1.09419632,1.839999199,3.728459835,0.838152885
27.97,94.19,2016-01-04,4.703994274,11.89812088,1.71981144,5.643275261,11.20210648,2.274118423
27.97,94.21,2016-01-04,4.703994274,11.89812088,1.71981144,5.643275261,11.20210648,2.274118423
26.77,90.81,2016-01-04,6.7838521,17.65204048,2.017333031,7.124866009,16.6450386,1.956430435
26.73,94.61,2016-01-04,4.397256851,12.71079636,0.547216415,3.594704628,10.51916695,0.232517242
26.71,94.9,2016-01-04,4.565509796,12.6839304,1.06080246,3.688942671,9.179264069,0.960172653
26.71,94.89,2016-01-04,4.565509796,12.6839304,1.06080246,3.688942671,9.179264069,0.960172653
26.68,94.87,2016-01-04,4.648843765,12.97659874,0.798474312,3.85539341,10.26166725,0.682600975
26.68,94.89,2016-01-04,4.565509796,12.6839304,1.06080246,3.688942671,9.179264069,0.960172653
26.55,94.98,2016-01-04,3.279962778,9.247379303,0.913707733,2.782432318,7.889381409,0.647143364
26.54,94.98,2016-01-04,3.279962778,9.247379303,0.913707733,2.782432318,7.889381409,0.647143364
26.54,94.97,2016-01-04,3.279962778,9.247379303,0.913707733,2.782432318,7.889381409,0.647143364
26.09,94.38,2016-01-04,3.273028612,9.588833809,0.482092857,2.756391764,9.220565796,0.001835823
26.09,94.4,2016-01-04,3.273028612,9.588833809,0.482092857,2.756391764,9.220565796,0.001835823
26.07,94.49,2016-01-04,3.273028612,9.588833809,0.482092857,2.756391764,9.220565796,0.001835823
26.01,94.42,2016-01-04,3.273028612,9.588833809,0.482092857,2.756391764,9.220565796,0.001835823
26.01,94.41,2016-01-04,3.273028612,9.588833809,0.482092857,2.756391764,9.220565796,0.001835823
26.01,94.43,2016-01-04,3.273028612,9.588833809,0.482092857,2.756391764,9.220565796,0.001835823
25.98,94.31,2016-01-04,2.809884071,9.308712006,0.078854561,2.954152822,10.43855095,0.003958702
25.98,94.32,2016-01-04,2.809884071,9.308712006,0.078854561,2.954152822,10.43855095,0.003958702
25.54,91.94,2016-01-04,3.005232096,10.53377533,0.068344116,3.941562414,11.45628834,0.116282463
25.75,94.13,2016-01-04,2.622523308,9.269486427,0.12544632,2.66825223,9.351333618,0.156077385
25.54,92.44,2016-01-04,2.998841524,10.71464062,-0.001719475,4.243594646,13.88690472,0.045772552
25.5,92.2,2016-01-04,3.101292849,10.71639633,0.108255386,4.172154427,12.85787678,0.080812454
14.02,75.56,2016-01-04,16.51259613,29.12432098,8.751131058,16.98484421,31.21912003,8.903450966
14.02,75.57,2016-01-04,16.51259613,29.12432098,8.751131058,16.98484421,31.21912003,8.903450966
26.74,95.28,2016-01-05,4.426342487,10.7717886,1.070734024,4.717380524,11.99758339,1.428529739
26.65,95.12,2016-01-05,4.383059502,10.72346592,0.960104942,4.565509796,12.6839304,1.06080246
29.36,79.72,2016-01-05,3.396801949,11.11249828,0.338760376,2.84858489,8.651965141,0.222233772
26.95,88.36,2016-01-05,2.435245037,8.20200634,0.103167534,3.325726748,9.702989578,0.874838829
26.95,95.62,2016-01-05,4.970881462,11.49440098,1.864971161,4.642261505,11.34725285,1.670287132
28.67,96.07,2016-01-05,2.729908705,5.791448593,1.192280889,2.841763496,6.862930775,0.953698874
28.67,96.05,2016-01-05,2.729908705,5.791448593,1.192280889,2.841763496,6.862930775,0.953698874
26.88,95.44,2016-01-05,4.970881462,11.49440098,1.864971161,4.642261505,11.34725285,1.670287132
26.88,95.41,2016-01-05,4.970881462,11.49440098,1.864971161,4.642261505,11.34725285,1.670287132
26.95,95.64,2016-01-05,4.632423401,10.44495869,1.996369362,4.348978519,9.870615005,1.849543571
26.68,95.14,2016-01-05,4.426342487,10.7717886,1.070734024,4.717380524,11.99758339,1.428529739
26.35,94.98,2016-01-05,3.414122581,9.526224136,0.855765343,3.29680872,8.965869904,0.925889015
26.37,95.0,2016-01-05,3.414122581,9.526224136,0.855765343,3.29680872,8.965869904,0.925889015
26.37,95.01,2016-01-05,3.414122581,9.526224136,0.855765343,3.29680872,8.965869904,0.925889015
26.36,94.98,2016-01-05,3.414122581,9.526224136,0.855765343,3.29680872,8.965869904,0.925889015
12.27,77.2,2016-01-05,13.07013416,27.58178711,0.99414444,15.61531639,32.67023087,4.238601685
12.29,77.2,2016-01-05,13.07013416,27.58178711,0.99414444,15.61531639,32.67023087,4.238601685
16.07,78.96,2016-01-05,11.98186779,27.37635803,2.187501907,13.47391415,29.59422302,3.399547577
19.79,77.57,2016-01-05,17.19252777,32.48510742,8.393759727,16.07711792,32.50418472,6.541597366
19.32,78.68,2016-01-05,13.76908016,29.84944153,3.462319374,13.72750378,29.45272827,4.62666893
19.15,78.82,2016-01-05,13.76908016,29.84944153,3.462319374,13.72750378,29.45272827,4.62666893
19.13,78.69,2016-01-05,13.76908016,29.84944153,3.462319374,13.72750378,29.45272827,4.62666893
19.68,84.09,2016-01-05,10.69301414,22.7108078,2.529819489,10.61417103,21.32875252,2.780734062
19.13,78.84,2016-01-05,13.76908016,29.84944153,3.462319374,13.72750378,29.45272827,4.62666893
19.76,84.09,2016-01-05,10.69301414,22.7108078,2.529819489,10.61417103,21.32875252,2.780734062
19.65,82.51,2016-01-05,13.7133255,26.44541359,4.742738724,12.90036774,23.50353241,5.434118271
18.3,78.07,2016-01-05,14.24535465,28.97058105,5.698575974,13.78076458,28.18829727,5.257416725
17.86,82.12,2016-01-05,8.020721436,21.5404644,0.705272675,7.631076813,20.30199814,0.292114258
18.1,80.21,2016-01-05,12.70016003,26.21933365,2.512306213,13.76969624,26.98993111,3.585437775
18.09,80.2,2016-01-05,12.70016003,26.21933365,2.512306213,13.76969624,26.98993111,3.585437775
23.92,79.86,2016-01-05,12.5731802,29.502491,3.404250145,12.26131153,28.10860062,3.887570381
22.41,76.48,2016-01-05,12.99417877,28.98585892,3.36729908,12.3921423,28.85029984,3.503475189
21.73,78.69,2016-01-05,11.95693779,27.05685997,2.997549057,12.39890957,26.99695587,2.543455124
22.4,76.47,2016-01-05,12.99417877,28.98585892,3.36729908,12.3921423,28.85029984,3.503475189
22.4,76.48,2016-01-05,12.99417877,28.98585892,3.36729908,12.3921423,28.85029984,3.503475189
21.28,76.87,2016-01-05,14.07946014,29.03050232,3.298237801,13.22755527,28.06696892,3.331998825
21.28,76.86,2016-01-05,14.07946014,29.03050232,3.298237801,13.22755527,28.06696892,3.331998825
25.51,77.81,2016-01-05,9.865742683,23.41490555,1.740076065,8.319211006,22.41396713,1.530090332
25.79,77.05,2016-01-05,10.010252,23.54934692,1.965238571,8.475268364,22.0139389,1.61993885
25.78,77.04,2016-01-05,10.010252,23.54934692,1.965238571,8.475268364,22.0139389,1.61993885
30.36,79.26,2016-01-05,4.856149197,8.968601227,2.321557045,4.658058643,9.90157032,1.982781887
30.08,78.73,2016-01-05,4.156495571,11.03978825,0.926887512,3.179097891,8.440151215,0.384945393
29.99,78.65,2016-01-05,4.156495571,11.03978825,0.926887512,3.179097891,8.440151215,0.384945393
29.76,79.68,2016-01-05,3.972076654,11.09809399,1.015278816,4.362745285,11.58861923,1.397128105
29.71,79.56,2016-01-05,3.837628841,11.7562685,0.627215385,3.536559105,11.00054359,0.672847271
29.47,79.7,2016-01-05,3.164722443,10.69099236,0.27879715,3.145885229,9.797412872,0.469287872
29.33,79.74,2016-01-05,3.396801949,11.11249828,0.338760376,2.84858489,8.651965141,0.222233772
28.25,80.36,2016-01-05,6.407866001,18.91258621,0.507710457,5.314574718,15.65303326,0.661677361
22.33,73.6,2016-01-05,13.65274334,29.37340164,3.563549042,12.39644623,30.36522293,3.771933556
30.08,78.73,2016-01-06,5.015487194,12.08361721,1.867041111,4.156495571,11.03978825,0.926887512
29.4,79.43,2016-01-06,4.033341408,11.83231735,0.582244873,3.522852659,11.69775867,0.285105705
21.26,76.86,2016-01-06,14.12352562,32.59356689,3.874070168,14.07946014,29.03050232,3.298237801
21.26,76.87,2016-01-06,14.12352562,32.59356689,3.874070168,14.07946014,29.03050232,3.298237801
23.49,79.66,2016-01-06,11.76220036,27.04854965,2.367484093,10.20733547,24.65019226,2.225637436
19.14,78.65,2016-01-06,14.43673134,29.82922554,5.995107651,13.76908016,29.84944153,3.462319374
26.62,94.86,2016-01-06,3.199844122,8.902048111,0.904014587,3.261743069,7.701641083,1.021074295
26.6,94.8,2016-01-06,3.199844122,8.902048111,0.904014587,3.261743069,7.701641083,1.021074295
25.96,92.06,2016-01-06,5.116343975,14.01487446,0.984487534,4.974978447,11.81345558,0.848825455
26.55,94.88,2016-01-06,3.022111177,7.946668625,0.851581573,3.215162039,8.345476151,0.91391468
26.0,92.1,2016-01-06,5.116343975,14.01487446,0.984487534,4.974978447,11.81345558,0.848825455
25.57,93.59,2016-01-06,2.243062496,9.148200989,-9.25e-05,2.594787598,9.538880348,0.002845764
27.8,93.6,2016-01-06,3.01936388,7.922516346,0.801585197,2.262102127,5.89263916,0.944028854
28.87,95.97,2016-01-06,2.073098898,4.574385166,0.929543257,2.729908705,5.791448593,1.192280889
28.07,97.0,2016-01-06,2.275290012,4.315750122,1.026467562,2.494111776,5.481090546,1.484415293
26.95,93.41,2016-01-06,5.761616707,16.58699036,1.167120934,5.120689392,13.33328629,1.36633873
26.77,94.82,2016-01-06,4.780264854,13.37339878,0.956254959,4.971874237,11.56457138,1.23476696
26.77,94.81,2016-01-06,4.780264854,13.37339878,0.956254959,4.971874237,11.56457138,1.23476696
26.69,95.25,2016-01-06,4.322773457,11.002491,1.440393448,4.426342487,10.7717886,1.070734024
26.7,95.24,2016-01-06,4.322773457,11.002491,1.440393448,4.426342487,10.7717886,1.070734024
26.7,95.26,2016-01-06,4.322773457,11.002491,1.440393448,4.426342487,10.7717886,1.070734024
14.89,75.99,2016-01-06,18.13846207,31.96280861,7.489221573,17.61942673,30.0608139,9.196665764
14.88,75.99,2016-01-06,18.13846207,31.96280861,7.489221573,17.61942673,30.0608139,9.196665764
14.89,76.0,2016-01-06,18.13846207,31.96280861,7.489221573,17.61942673,30.0608139,9.196665764
23.13,78.13,2016-01-06,14.51754284,28.57597351,4.923060417,12.08920574,27.70931244,3.940732002
12.87,75.6,2016-01-06,16.84906387,41.11302567,6.085776329,16.79445267,36.90251923,6.116579056
16.03,78.88,2016-01-07,12.68660927,27.90184021,2.978555679,12.64987755,28.6852684,1.943321228
