lat,lon,date,vpd_avg,vpd_max,vpd_min,vpd_avg_1,vpd_max_1,vpd_min_1
28.97,95.79,2004-01-01,1.173001528,3.253210545,0.492518902,1.721458197,4.080204964,0.785523415
25.28,92.76,2004-01-01,3.063870668,10.43854904,0.183413506,3.362037897,10.78218079,0.30189991
26.46,95.0,2004-01-02,2.877310753,6.735396385,0.669236183,2.816264868,7.152557373,0.6288414
29.88,79.0,2004-01-02,2.770617962,7.354251385,0.354542255,2.656350374,6.473577499,0.498589993
27.03,95.33,2004-01-02,4.246126652,8.911945343,1.158249855,4.426563263,9.754102707,1.641682625
27.03,95.53,2004-01-02,4.191932678,8.593396187,1.115086555,5.014250755,10.36373329,2.376996994
27.03,95.54,2004-01-02,4.191932678,8.593396187,1.115086555,5.014250755,10.36373329,2.376996994
27.02,95.53,2004-01-02,4.191932678,8.593396187,1.115086555,5.014250755,10.36373329,2.376996994
27.02,95.54,2004-01-02,4.191932678,8.593396187,1.115086555,5.014250755,10.36373329,2.376996994
27.19,97.0,2004-01-02,2.327510357,6.627356529,0.165282726,2.953327656,8.615055084,0.419012547
26.48,94.98,2004-01-02,2.877310753,6.735396385,0.669236183,2.816264868,7.152557373,0.6288414
26.07,94.46,2004-01-02,1.982136846,5.785309792,0.000927925,1.938716769,6.811988831,0.002120972
26.08,94.48,2004-01-02,1.982136846,5.785309792,0.000927925,1.938716769,6.811988831,0.002120972
26.05,94.41,2004-01-02,1.982136846,5.785309792,0.000927925,1.938716769,6.811988831,0.002120972
26.05,94.42,2004-01-02,1.982136846,5.785309792,0.000927925,1.938716769,6.811988831,0.002120972
24.64,93.67,2004-01-02,3.470097542,10.27904224,0.233745575,3.199655056,11.06017017,0.150876045
9.65,76.93,2004-01-02,13.19393158,24.38114548,3.198139191,12.85300064,26.3904953,4.348449707
16.01,78.62,2004-01-02,11.0431881,27.27338982,0.663196564,11.44502544,24.77809906,1.352394104
15.38,74.85,2004-01-02,12.95020008,23.90236664,6.577877998,12.88794136,23.33734322,3.805060387
14.23,75.27,2004-01-02,13.38654995,23.65084839,6.235296249,13.25772762,22.25513458,3.587316513
24.28,74.35,2004-01-02,9.773456573,21.1499157,2.280070305,10.43472767,23.12921524,2.814047813
30.47,79.17,2004-01-02,3.058991194,5.539165974,1.302862644,2.588241816,4.590319633,1.461652994
28.85,95.96,2004-01-03,1.000833035,2.047737598,0.387586594,1.131450176,2.089830399,0.643322468
26.77,95.31,2004-01-03,2.89035058,7.498788834,0.661759377,3.455499649,8.093192101,0.594064713
17.2,73.88,2004-01-03,12.86273289,25.99180984,2.45039463,11.54072285,26.83122635,1.803993225
27.13,95.57,2004-01-03,4.009900093,9.829000473,1.049477577,4.857176781,9.808609009,1.315188408
27.06,95.47,2004-01-03,3.385808945,8.451469421,1.140332222,4.191932678,8.593396187,1.115086555
27.05,95.45,2004-01-03,3.385808945,8.451469421,1.140332222,4.191932678,8.593396187,1.115086555
27.05,95.47,2004-01-03,3.385808945,8.451469421,1.140332222,4.191932678,8.593396187,1.115086555
26.97,95.39,2004-01-03,3.385808945,8.451469421,1.140332222,4.191932678,8.593396187,1.115086555
26.97,95.4,2004-01-03,3.385808945,8.451469421,1.140332222,4.191932678,8.593396187,1.115086555
26.71,95.15,2004-01-03,2.89035058,7.498788834,0.661759377,3.455499649,8.093192101,0.594064713
26.71,95.17,2004-01-03,2.89035058,7.498788834,0.661759377,3.455499649,8.093192101,0.594064713
26.59,95.06,2004-01-03,2.468303442,6.523536682,0.674751282,2.877310753,6.735396385,0.669236183
26.52,94.85,2004-01-03,2.083719969,5.280275345,0.293219566,2.652184963,6.317549706,0.361750603
26.52,94.87,2004-01-03,2.083719969,5.280275345,0.293219566,2.652184963,6.317549706,0.361750603
26.0,92.11,2004-01-03,3.605222702,9.343449593,0.313406944,4.758093834,10.06583977,1.264886856
26.2,94.4,2004-01-03,1.736124396,5.850812912,-0.001087189,2.389726877,6.937247276,0.028985977
26.06,94.42,2004-01-03,1.642532587,5.405992508,-0.000749588,1.982136846,5.785309792,0.000927925
25.98,94.36,2004-01-03,1.867764592,5.704769135,0.016372681,2.242152452,6.653255463,0.031794548
25.28,92.69,2004-01-03,3.095267534,9.001893044,0.225006104,3.752234936,10.1684351,0.410682678
25.4,94.16,2004-01-03,2.935678244,8.852910042,0.500637054,2.935994864,8.876947403,0.174293518
25.13,93.61,2004-01-03,3.151471376,9.23579216,0.387403488,3.560631275,10.23554802,0.368279457
